date,mua_vao,ban_ra
04/04/2010,26100.0,26160.0
05/04/2010,26120.0,26170.0
06/04/2010,26030.0,26090.0
07/04/2010,26090.0,26150.0
08/04/2010,26300.0,26360.0
09/04/2010,26470.0,26530.0
10/04/2010,26510.0,26570.0
11/04/2010,26510.0,26570.0
12/04/2010,26600.0,26670.0
13/04/2010,26350.0,26420.0
14/04/2010,26430.0,26490.0
15/04/2010,26410.0,26470.0
16/04/2010,26420.0,26480.0
17/04/2010,26270.0,26330.0
18/04/2010,26270.0,26330.0
19/04/2010,26150.0,26210.0
20/04/2010,26270.0,26330.0
21/04/2010,26300.0,26360.0
22/04/2010,26290.0,26350.0
23/04/2010,26250.0,26310.0
24/04/2010,26380.0,26450.0
25/04/2010,26380.0,26450.0
26/04/2010,26400.0,26450.0
27/04/2010,26350.0,26410.0
28/04/2010,26450.0,26500.0
29/04/2010,26500.0,26560.0
30/04/2010,26500.0,26560.0
01/05/2010,26500.0,26560.0
02/05/2010,26500.0,26560.0
03/05/2010,26500.0,26560.0
04/05/2010,26750.0,26810.0
05/05/2010,26640.0,26690.0
06/05/2010,26720.0,26780.0
07/05/2010,27230.0,27300.0
08/05/2010,27300.0,27400.0
09/05/2010,27300.0,27400.0
10/05/2010,27150.0,27210.0
11/05/2010,27470.0,27540.0
12/05/2010,28100.0,28200.0
13/05/2010,28070.0,28170.0
14/05/2010,28150.0,28220.0
15/05/2010,28050.0,28150.0
16/05/2010,28050.0,28150.0
17/05/2010,28110.0,28170.0
18/05/2010,27860.0,27930.0
19/05/2010,27700.0,27770.0
20/05/2010,27430.0,27490.0
21/05/2010,27350.0,27430.0
22/05/2010,27300.0,27370.0
23/05/2010,27300.0,27370.0
24/05/2010,27420.0,27480.0
25/05/2010,27530.0,27600.0
26/05/2010,27900.0,27970.0
27/05/2010,27760.0,27820.0
28/05/2010,27670.0,27730.0
29/05/2010,27680.0,27740.0
30/05/2010,27680.0,27740.0
31/05/2010,27660.0,27720.0
01/06/2010,27820.0,27880.0
02/06/2010,27820.0,27880.0
03/06/2010,27790.0,27850.0
04/06/2010,27630.0,27690.0
05/06/2010,27750.0,27820.0
06/06/2010,27750.0,27820.0
07/06/2010,27710.0,27770.0
08/06/2010,28250.0,28350.0
09/06/2010,28110.0,28170.0
10/06/2010,27900.0,27970.0
11/06/2010,27880.0,27930.0
12/06/2010,27950.0,28010.0
13/06/2010,27950.0,28010.0
14/06/2010,28030.0,28090.0
15/06/2010,27930.0,27990.0
16/06/2010,28100.0,28160.0
17/06/2010,28070.0,28130.0
18/06/2010,28270.0,28330.0
19/06/2010,28450.0,28520.0
20/06/2010,28450.0,28520.0
21/06/2010,28600.0,28670.0
22/06/2010,28260.0,28320.0
23/06/2010,28390.0,28450.0
24/06/2010,28350.0,28400.0
25/06/2010,28470.0,28530.0
26/06/2010,28600.0,28660.0
27/06/2010,28600.0,28660.0
28/06/2010,28630.0,28680.0
29/06/2010,28440.0,28500.0
30/06/2010,28550.0,28600.0
01/07/2010,28530.0,28580.0
02/07/2010,28290.0,28360.0
03/07/2010,28300.0,28350.0
04/07/2010,28300.0,28350.0
05/07/2010,28280.0,28340.0
06/07/2010,28300.0,28350.0
07/07/2010,28120.0,28180.0
08/07/2010,28240.0,28290.0
09/07/2010,28170.0,28220.0
10/07/2010,28270.0,28330.0
11/07/2010,28270.0,28330.0
12/07/2010,28180.0,28240.0
13/07/2010,28190.0,28250.0
14/07/2010,28200.0,28260.0
15/07/2010,28210.0,28260.0
16/07/2010,28160.0,28220.0
17/07/2010,28060.0,28130.0
18/07/2010,28060.0,28130.0
19/07/2010,28060.0,28110.0
20/07/2010,27920.0,27980.0
21/07/2010,27990.0,28040.0
22/07/2010,27960.0,28010.0
23/07/2010,28060.0,28110.0
24/07/2010,27980.0,28040.0
25/07/2010,27980.0,28040.0
26/07/2010,27980.0,28030.0
27/07/2010,27930.0,27990.0
28/07/2010,27670.0,27720.0
29/07/2010,27630.0,27680.0
30/07/2010,27630.0,27680.0
31/07/2010,27710.0,27770.0
01/08/2010,27710.0,27770.0
02/08/2010,27730.0,27780.0
03/08/2010,27740.0,27790.0
04/08/2010,27920.0,27970.0
05/08/2010,27980.0,28020.0
06/08/2010,27990.0,28030.0
07/08/2010,28100.0,28150.0
08/08/2010,28100.0,28150.0
09/08/2010,28130.0,28170.0
10/08/2010,28050.0,28080.0
11/08/2010,28020.0,28060.0
12/08/2010,28000.0,28040.0
13/08/2010,28150.0,28190.0
14/08/2010,28130.0,28170.0
15/08/2010,28130.0,28170.0
16/08/2010,28250.0,28290.0
17/08/2010,28420.0,28460.0
18/08/2010,28520.0,28560.0
19/08/2010,28730.0,28770.0
20/08/2010,28780.0,28820.0
21/08/2010,28700.0,28750.0
22/08/2010,28700.0,28750.0
23/08/2010,28720.0,28760.0
24/08/2010,28560.0,28600.0
25/08/2010,28870.0,28910.0
26/08/2010,28990.0,29030.0
27/08/2010,28920.0,28960.0
28/08/2010,28940.0,28980.0
29/08/2010,28940.0,28980.0
30/08/2010,28920.0,28960.0
31/08/2010,28910.0,28950.0
01/09/2010,29200.0,29240.0
02/09/2010,29150.0,29190.0
03/09/2010,29250.0,29300.0
04/09/2010,29200.0,29240.0
05/09/2010,29200.0,29240.0
06/09/2010,29220.0,29260.0
07/09/2010,29210.0,29250.0
08/09/2010,29450.0,29490.0
09/09/2010,29370.0,29410.0
10/09/2010,29260.0,29300.0
11/09/2010,29250.0,29290.0
12/09/2010,29250.0,29290.0
13/09/2010,29230.0,29270.0
14/09/2010,29330.0,29370.0
15/09/2010,29720.0,29760.0
16/09/2010,29700.0,29740.0
17/09/2010,29960.0,30000.0
18/09/2010,29860.0,29900.0
19/09/2010,29860.0,29900.0
20/09/2010,30000.0,30040.0
21/09/2010,30040.0,30080.0
22/09/2010,30250.0,30290.0
23/09/2010,30290.0,30330.0
24/09/2010,30420.0,30460.0
25/09/2010,30420.0,30460.0
26/09/2010,30420.0,30460.0
27/09/2010,30680.0,30720.0
28/09/2010,30570.0,30610.0
29/09/2010,31150.0,31200.0
30/09/2010,31210.0,31250.0
01/10/2010,31280.0,31340.0
02/10/2010,31430.0,31480.0
03/10/2010,31430.0,31480.0
04/10/2010,31540.0,31580.0
05/10/2010,31700.0,31750.0
06/10/2010,32700.0,32800.0
07/10/2010,32770.0,32830.0
08/10/2010,32000.0,32100.0
09/10/2010,32320.0,32420.0
10/10/2010,32320.0,32420.0
11/10/2010,32500.0,32570.0
12/10/2010,32430.0,32490.0
13/10/2010,32660.0,32720.0
14/10/2010,33080.0,33140.0
15/10/2010,33150.0,33210.0
16/10/2010,33100.0,33150.0
17/10/2010,33100.0,33150.0
18/10/2010,33090.0,33150.0
19/10/2010,33300.0,33360.0
20/10/2010,32920.0,32970.0
21/10/2010,33050.0,33100.0
22/10/2010,32670.0,32740.0
23/10/2010,32770.0,32830.0
24/10/2010,32770.0,32830.0
25/10/2010,32910.0,32960.0
26/10/2010,32840.0,32890.0
27/10/2010,32830.0,32880.0
28/10/2010,32800.0,32850.0
29/10/2010,32980.0,33030.0
30/10/2010,33350.0,33400.0
31/10/2010,33350.0,33400.0
01/11/2010,33500.0,33550.0
02/11/2010,33670.0,33730.0
03/11/2010,33750.0,33800.0
04/11/2010,34080.0,34180.0
05/11/2010,34750.0,34900.0
06/11/2010,35100.0,35200.0
07/11/2010,35100.0,35200.0
08/11/2010,35660.0,35750.0
09/11/2010,36500.0,36700.0
10/11/2010,36400.0,36550.0
11/11/2010,36150.0,36300.0
12/11/2010,35750.0,35850.0
13/11/2010,34900.0,35100.0
14/11/2010,34900.0,35100.0
15/11/2010,34920.0,35000.0
16/11/2010,34890.0,34940.0
17/11/2010,34370.0,34440.0
18/11/2010,35450.0,35550.0
19/11/2010,35550.0,35650.0
20/11/2010,35450.0,35550.0
21/11/2010,35450.0,35550.0
22/11/2010,35650.0,35710.0
23/11/2010,35620.0,35670.0
24/11/2010,35850.0,35950.0
25/11/2010,35730.0,35780.0
26/11/2010,35700.0,35770.0
27/11/2010,35670.0,35710.0
28/11/2010,35670.0,35710.0
29/11/2010,35730.0,35780.0
30/11/2010,35880.0,35950.0
01/12/2010,36250.0,36330.0
02/12/2010,36200.0,36270.0
03/12/2010,36100.0,36160.0
04/12/2010,36400.0,36500.0
05/12/2010,36400.0,36500.0
06/12/2010,36510.0,36580.0
07/12/2010,36500.0,36570.0
08/12/2010,35840.0,35920.0
09/12/2010,35730.0,35790.0
10/12/2010,35800.0,35860.0
11/12/2010,35770.0,35840.0
12/12/2010,35770.0,35840.0
13/12/2010,36020.0,36100.0
14/12/2010,36160.0,36220.0
15/12/2010,35860.0,35940.0
16/12/2010,35860.0,35920.0
17/12/2010,35750.0,35800.0
18/12/2010,35820.0,35900.0
19/12/2010,35820.0,35900.0
20/12/2010,35830.0,35900.0
21/12/2010,35770.0,35840.0
22/12/2010,35790.0,35850.0
23/12/2010,35750.0,35810.0
24/12/2010,35750.0,35810.0
25/12/2010,35780.0,35850.0
26/12/2010,35780.0,35850.0
27/12/2010,35750.0,35810.0
28/12/2010,35830.0,35900.0
29/12/2010,35960.0,36020.0
30/12/2010,36040.0,36100.0
31/12/2010,35900.0,36000.0
01/01/2011,35900.0,36000.0
02/01/2011,35900.0,36000.0
03/01/2011,35900.0,36000.0
04/01/2011,36080.0,36140.0
05/01/2011,35790.0,35860.0
06/01/2011,35760.0,35830.0
07/01/2011,35400.0,35450.0
08/01/2011,35400.0,35450.0
09/01/2011,35400.0,35450.0
10/01/2011,35650.0,35710.0
11/01/2011,35730.0,35790.0
